,c,h,l,o,s,t,v
0,140.58999633789,141.19000244141,138.2799987793,138.92999267578,ok,1546387200,2059602
1,135.78999328613,139.57000732422,135.58000183105,139.13000488281,ok,1546473600,2801252
2,141.07000732422,141.33999633789,137.5,138.11999511719,ok,1546560000,2296417
3,141.55999755859,142.36999511719,139.85000610352,140.83000183105,ok,1546819200,2315636
4,145.13999938965,146.80999755859,142.69000244141,144.63000488281,ok,1546905600,2647835
5,145.86999511719,147.19999694824,145.13999938965,145.25999450684,ok,1546992000,2181498
6,147.02000427246,147.13000488281,144.27000427246,144.66000366211,ok,1547078400,1836305
7,146.22999572754,147.42999267578,143.00999450684,143.00999450684,ok,1547164800,2004135
8,144.92999267578,145.66000366211,144.14999389648,144.7799987793,ok,1547424000,1484464
9,146.88999938965,147.5,145.00999450684,145.08000183105,ok,1547510400,1543778
10,147.88000488281,149.46000671387,147.7200012207,148.7799987793,ok,1547596800,2677121
11,149.11999511719,149.61999511719,147.24000549316,147.24000549316,ok,1547683200,1814674
12,150.44999694824,151.39999389648,149.11000061035,150.0,ok,1547769600,2470548
13,148.9700012207,150.39999389648,147.91000366211,149.5,ok,1548115200,1950252
14,148.41999816895,150.92999267578,147.44000244141,149.86000061035,ok,1548201600,1989430
15,150.14999389648,150.30999755859,148.66999816895,148.80999755859,ok,1548288000,1947456
16,151.85000610352,152.2200012207,150.96000671387,151.58000183105,ok,1548374400,1742762
17,152.24000549316,152.24000549316,150.19999694824,150.7200012207,ok,1548633600,2046501
18,152.02000427246,152.41000366211,151.11000061035,152.02000427246,ok,1548720000,1963230
19,154.08999633789,154.5,151.83999633789,152.52000427246,ok,1548806400,1679363
20,153.55000305176,154.89999389648,153.11999511719,153.5,ok,1548892800,2115623
21,154.74000549316,155.2200012207,153.66000366211,154.25,ok,1548979200,1957430
